Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201402,February 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2158972687,,,0
HS,2014,201404,April 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2193068210,,,0
HS,2014,201401,January 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1847119370,,,0
HS,2014,201401,January 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1340784446,,,0
HS,2014,201402,February 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1456967104,,,0
HS,2014,201403,March 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2278375806,,,0
HS,2014,201403,March 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1486170994,,,0
HS,2014,201404,April 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1447504488,,,0
HS,2014,201405,May 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2224111488,,,0
HS,2014,201405,May 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1470875853,,,0
HS,2014,201406,June 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2166581340,,,0
HS,2014,201406,June 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1462232966,,,0
HS,2014,201407,July 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1924677721,,,0
HS,2014,201407,July 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1350676112,,,0
HS,2014,201408,August 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2176679328,,,0
HS,2014,201408,August 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1179592882,,,0
HS,2014,201409,September 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2047046433,,,0
HS,2014,201409,September 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1436337340,,,0
HS,2014,201410,October 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2050768470,,,0
HS,2014,201410,October 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1363035088,,,0
HS,2014,201411,November 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1790178338,,,0
HS,2014,201411,November 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1393320293,,,0
HS,2014,201412,December 2014,0,0,1,Imports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1938750501,,,0
HS,2014,201412,December 2014,0,0,2,Exports,788,Tunisia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1372399304,,,0
