Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201008,August 2010,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15434041486,,,0
HS,2014,201408,August 2014,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20282406289,,,0
HS,2020,202012,December 2020,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17846754838,,,0
HS,2020,202012,December 2020,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22385540813,,,0
HS,2019,201903,March 2019,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18250476309,,,0
HS,2013,201302,February 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20345696270,,,0
HS,2013,201305,May 2013,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14141542927,,,0
HS,2013,201304,April 2013,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13450014590,,,0
HS,2013,201301,January 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19564482491,,,0
HS,2013,201301,January 2013,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12263324263,,,0
HS,2013,201306,June 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21694291366,,,0
HS,2015,201510,October 2015,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17372152876,,,0
HS,2015,201510,October 2015,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13838696312,,,0
HS,2013,201308,August 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19104383075,,,0
HS,2014,201412,December 2014,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22154390608,,,0
HS,2013,201309,September 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21328134402,,,0
HS,2015,201511,November 2015,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12311852097,,,0
HS,2013,201312,December 2013,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23593756388,,,0
HS,2014,201401,January 2014,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13056096762,,,0
HS,2014,201408,August 2014,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12095069206,,,0
HS,2014,201404,April 2014,0,0,2,Exports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14209640806,,,0
HS,2014,201405,May 2014,0,0,1,Imports,792,Turkey,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21480370943,,,0
