Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201011,November 2010,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173499481820,,,0
HS,2010,201011,November 2010,0,0,2,Exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112934778149,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12773709445,,,0
HS,2011,201101,January 2011,0,0,2,Exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110200815743,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13677195928,,,0
HS,2011,201104,April 2011,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,182571022432,,,0
HS,2011,201101,January 2011,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,170800073568,,,0
HS,2010,201005,May 2010,0,0,2,Exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,105311563308,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13518950058,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12751379513,,,0
HS,2011,201104,April 2011,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14647853960,,,0
HS,2010,201007,July 2010,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169116700961,,,0
HS,2011,201106,June 2011,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16042855538,,,0
HS,2010,201010,October 2010,0,0,2,Exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,117574791376,,,0
HS,2011,201111,November 2011,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,195675265041,,,0
HS,2011,201106,June 2011,0,0,1,Imports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,197269857482,,,0
HS,2011,201112,December 2011,0,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15287742483,,,0
HS,2010,201004,April 2010,0,0,2,Exports,842,United States of America,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,102137719916,,,0
