Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47479627,,,0
HS,2015,201502,February 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192077904,,,0
HS,2015,201503,March 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,217020661,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61716028,,,0
HS,2015,201505,May 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188093078,,,0
HS,2015,201506,June 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,493166743,,,0
HS,2015,201507,July 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,459590681,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35562650,,,0
HS,2015,201508,August 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,452737068,,,0
HS,2015,201509,September 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,415648206,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39550175,,,0
HS,2015,201510,October 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,406589972,,,0
HS,2015,201511,November 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,184532577,,,0
HS,2015,201511,November 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35967703,,,0
HS,2016,201601,January 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,198643848,,,0
HS,2016,201602,February 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,357092960,,,0
HS,2016,201602,February 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38771184,,,0
HS,2016,201603,March 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,400952404,,,0
HS,2016,201603,March 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,203837488,,,0
HS,2016,201603,March 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,42100727,,,0
HS,2016,201604,April 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,208540244,,,0
HS,2016,201604,April 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,53745422,,,0
HS,2016,201605,May 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,401795822,,,0
HS,2016,201605,May 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,195481774,,,0
HS,2016,201606,June 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,200772433,,,0
HS,2016,201607,July 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,401371710,,,0
HS,2016,201607,July 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,189465029,,,0
HS,2016,201607,July 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41776024,,,0
HS,2016,201608,August 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193573668,,,0
HS,2016,201609,September 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,196007505,,,0
HS,2016,201610,October 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,415812260,,,0
HS,2016,201610,October 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209087119,,,0
HS,2016,201610,October 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39379076,,,0
HS,2016,201612,December 2016,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,403209474,,,0
HS,2016,201612,December 2016,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,245494266,,,0
HS,2016,201612,December 2016,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47915405,,,0
HS,2018,201801,January 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,509706905,,,0
HS,2018,201801,January 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,297770785,,,0
HS,2018,201802,February 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,515409350,,,0
HS,2018,201802,February 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,254591072,,,0
HS,2018,201805,May 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,514518978,,,0
HS,2018,201805,May 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,272208059,,,0
HS,2018,201806,June 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,247659820,,,0
HS,2018,201807,July 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,242136965,,,0
HS,2018,201808,August 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,657226519,,,0
HS,2018,201809,September 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,557098848,,,0
HS,2018,201809,September 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,255105406,,,0
HS,2018,201810,October 2018,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,646117848,,,0
HS,2018,201810,October 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,288570930,,,0
HS,2018,201812,December 2018,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,251451440,,,0
HS,2019,201901,January 2019,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,262465046,,,0
HS,2019,201902,February 2019,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,256825885,,,0
HS,2019,201903,March 2019,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,888998179,,,0
HS,2019,201903,March 2019,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,559975007,,,0
HS,2020,202002,February 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,657423813,,,0
HS,2020,202002,February 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,304581181,,,0
HS,2020,202004,April 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,405797706,,,0
HS,2020,202004,April 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,206378499,,,0
HS,2020,202005,May 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,506205145,,,0
HS,2020,202005,May 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,290330575,,,0
HS,2020,202006,June 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,636828370,,,0
HS,2020,202006,June 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,336876755,,,0
HS,2020,202008,August 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,800938620,,,0
HS,2020,202008,August 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,415207873,,,0
HS,2020,202011,November 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,842297703,,,0
HS,2020,202011,November 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,381903401,,,0
HS,2020,202012,December 2020,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,899478975,,,0
HS,2020,202012,December 2020,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,415629620,,,0
HS,2015,201501,January 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,501161647,,,0
HS,2015,201501,January 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188753105,,,0
HS,2015,201502,February 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,483503250,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51974045,,,0
HS,2015,201503,March 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,502965946,,,0
HS,2015,201504,April 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,491732981,,,0
HS,2015,201504,April 2015,0,0,2,Exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188307636,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56359036,,,0
HS,2015,201505,May 2015,0,0,1,Imports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,474376819,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,800,Uganda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42614383,,,0
