Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3326056255,,,0
HS,2011,201108,August 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7214227650,,,0
HS,2011,201107,July 2011,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5355388252,,,0
HS,2011,201107,July 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6527306028,,,0
HS,2011,201110,October 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7543525294,,,0
HS,2011,201105,May 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6766528905,,,0
HS,2010,201004,April 2010,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4222320708,,,0
HS,2011,201109,September 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7385229497,,,0
HS,2011,201106,June 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6788040886,,,0
HS,2011,201106,June 2011,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6156673703,,,0
HS,2011,201104,April 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6297678172,,,0
HS,2010,201010,October 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6176944697,,,0
HS,2011,201101,January 2011,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4652730174,,,0
HS,2010,201011,November 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6232409984,,,0
HS,2010,201001,January 2010,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3009836022,,,0
HS,2011,201102,February 2011,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4691015729,,,0
HS,2010,201008,August 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5442245031,,,0
HS,2011,201103,March 2011,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7047689218,,,0
HS,2010,201007,July 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5173278078,,,0
HS,2010,201007,July 2010,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4244987679,,,0
HS,2010,201005,May 2010,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4426747898,,,0
HS,2012,201201,January 2012,0,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5324783564,,,0
HS,2012,201201,January 2012,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5385206285,,,0
HS,2012,201203,March 2012,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6933724274,,,0
HS,2012,201204,April 2012,0,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7263385545,,,0
