Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201104,April 2011,0,0,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7072538391,,,0
HS,2011,201102,February 2011,0,0,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12399741084,,,0
HS,2011,201102,February 2011,0,0,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6904595033,,,0
HS,2011,201109,September 2011,0,0,3,Re-exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4498497834,,,0
HS,2010,201001,January 2010,0,0,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1548845702,,,0
HS,2010,201002,February 2010,0,0,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1333555656,,,0
HS,2010,201002,February 2010,0,0,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13114831654,,,0
HS,2010,201003,March 2010,0,0,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15298024883,,,0
HS,2017,201708,August 2017,0,0,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22149401597,,,0
HS,2019,201911,November 2019,0,0,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,33435011048,,,0
HS,2017,201712,December 2017,0,0,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25082144031,,,0
