Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,698631510630,,,0
HS,2010,201001,January 2010,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,328170728965,,,0
HS,2010,201002,February 2010,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,680884832943,,,0
HS,2010,201002,February 2010,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,226608149228,,,0
HS,2010,201003,March 2010,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,742600364752,,,0
HS,2010,201003,March 2010,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,258064694640,,,0
HS,2012,201201,January 2012,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1016711033,,,0
HS,2015,201501,January 2015,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,685428293,,,0
HS,2015,201501,January 2015,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,446988190,,,0
HS,2018,201801,January 2018,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,692065468,,,0
HS,2018,201801,January 2018,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,210632006,,,0
HS,2018,201809,September 2018,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,660434674,,,0
HS,2018,201811,November 2018,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112624434,,,0
HS,2019,201902,February 2019,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,520875710,,,0
HS,2019,201903,March 2019,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,306098793,,,0
HS,2019,201903,March 2019,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24582659,,,0
HS,2019,201906,June 2019,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,707726763,,,0
HS,2019,201909,September 2019,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,869270459,,,0
HS,2019,201909,September 2019,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,491664540,,,0
HS,2019,201909,September 2019,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30127275,,,0
HS,2019,201910,October 2019,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,612382506,,,0
HS,2019,201910,October 2019,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18454016,,,0
HS,2019,201911,November 2019,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,471446291,,,0
HS,2019,201911,November 2019,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11088670,,,0
HS,2020,202001,January 2020,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,870227483,,,0
HS,2020,202001,January 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,525897766,,,0
HS,2020,202001,January 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7558214,,,0
HS,2020,202002,February 2020,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,727052941,,,0
HS,2020,202002,February 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,386513672,,,0
HS,2020,202002,February 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4712997,,,0
HS,2020,202005,May 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,522745698,,,0
HS,2020,202005,May 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7238624,,,0
HS,2020,202006,June 2020,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,621181838,,,0
HS,2020,202006,June 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,421101466,,,0
HS,2020,202006,June 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7876521,,,0
HS,2020,202009,September 2020,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,823416611,,,0
HS,2020,202009,September 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,515689056,,,0
HS,2020,202009,September 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11205064,,,0
HS,2020,202010,October 2020,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,707628052,,,0
HS,2020,202010,October 2020,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,561857937,,,0
HS,2020,202010,October 2020,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10637066,,,0
HS,2020,202010,October 2020,0,0,4,Re-imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17658,,,0
HS,2021,202101,January 2021,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,709873701,,,0
HS,2021,202101,January 2021,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,416072971,,,0
HS,2021,202101,January 2021,0,0,3,Re-exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4345067,,,0
HS,2021,202101,January 2021,0,0,4,Re-imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2233108,,,0
HS,2021,202102,February 2021,0,0,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,699327935,,,0
HS,2021,202102,February 2021,0,0,2,Exports,834,United Rep. of Tanzania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,356239053,,,0
