Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,407084013,,,0
HS,2010,201002,February 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,458853067,,,0
HS,2010,201002,February 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,404294919,,,0
HS,2010,201003,March 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,783684477,,,0
HS,2010,201003,March 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,475951528,,,0
HS,2010,201004,April 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,628913266,,,0
HS,2010,201004,April 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,582469046,,,0
HS,2010,201005,May 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,670110491,,,0
HS,2010,201005,May 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,650108819,,,0
HS,2010,201006,June 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,746225042,,,0
HS,2010,201006,June 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,726327940,,,0
HS,2010,201007,July 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,683941148,,,0
HS,2010,201007,July 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,588457859,,,0
HS,2010,201008,August 2010,0,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,677648544,,,0
HS,2010,201008,August 2010,0,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,607774367,,,0
