Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1514319144,,,0
HS,2019,201901,January 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1314632121,,,0
HS,2019,201901,January 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11508112,,,0
HS,2019,201901,January 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1432345,,,0
HS,2019,201902,February 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1535130794,,,0
HS,2019,201902,February 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1803881258,,,0
HS,2019,201902,February 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7379259,,,0
HS,2019,201902,February 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,51436,,,0
HS,2019,201903,March 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1741559170,,,0
HS,2019,201903,March 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,780430841,,,0
HS,2019,201903,March 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7701290,,,0
HS,2019,201903,March 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1319797,,,0
HS,2019,201904,April 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1726128653,,,0
HS,2019,201904,April 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,857244861,,,0
HS,2019,201904,April 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16056787,,,0
HS,2019,201904,April 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,555983,,,0
HS,2019,201905,May 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1942411073,,,0
HS,2019,201905,May 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,877070970,,,0
HS,2019,201905,May 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6343298,,,0
HS,2019,201905,May 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,153325,,,0
HS,2019,201906,June 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1715783055,,,0
HS,2019,201906,June 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1699419190,,,0
HS,2019,201906,June 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6405639,,,0
HS,2019,201906,June 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,865966,,,0
HS,2019,201907,July 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2182097523,,,0
HS,2019,201907,July 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2092973853,,,0
HS,2019,201907,July 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5474848,,,0
HS,2019,201907,July 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4262089,,,0
HS,2019,201908,August 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2046291883,,,0
HS,2019,201908,August 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1249468943,,,0
HS,2019,201908,August 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5708260,,,0
HS,2019,201908,August 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,420583,,,0
HS,2019,201909,September 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1775244804,,,0
HS,2019,201909,September 2019,0,0,2,Exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,916628373,,,0
HS,2019,201909,September 2019,0,0,3,Re-exports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7956279,,,0
HS,2019,201909,September 2019,0,0,4,Re-imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,266835,,,0
HS,2019,201910,October 2019,0,0,1,Imports,860,Uzbekistan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1748377535,,,0
