Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201705,May 2017,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18458954344,,,0
HS,2017,201705,May 2017,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17930690341,,,0
HS,2019,201905,May 2019,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,21904590812,,,0
HS,2019,201906,June 2019,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,21427771608,,,0
HS,2020,202010,October 2020,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26907188913,,,0
HS,2020,202010,October 2020,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23772516868,,,0
HS,2016,201602,February 2016,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10289969750,,,0
HS,2016,201602,February 2016,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10099056462,,,0
HS,2015,201505,May 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14837290948,,,0
HS,2015,201505,May 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13648073119,,,0
HS,2015,201501,January 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13798788842,,,0
HS,2015,201501,January 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13404726835,,,0
HS,2015,201502,February 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10479745953,,,0
HS,2015,201502,February 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9513172839,,,0
HS,2015,201504,April 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13045175812,,,0
HS,2015,201504,April 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13489549997,,,0
HS,2015,201503,March 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14735576222,,,0
HS,2015,201503,March 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13344741381,,,0
HS,2015,201509,September 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13796440070,,,0
HS,2015,201509,September 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13813804179,,,0
HS,2015,201512,December 2015,0,0,2,Exports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13734955786,,,0
HS,2015,201512,December 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14298312980,,,0
HS,2015,201506,June 2015,0,0,1,Imports,704,Viet Nam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14491316021,,,0
