Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201201,January 2012,0,0,1,Imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,726392587,,,0
HS,2012,201201,January 2012,0,0,2,Exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,553167558,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15458040,,,0
HS,2012,201201,January 2012,0,0,4,Re-imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,447866,,,0
HS,2012,201202,February 2012,0,0,1,Imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,590391155,,,0
HS,2012,201202,February 2012,0,0,2,Exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,649452076,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13253705,,,0
HS,2012,201202,February 2012,0,0,4,Re-imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6608601,,,0
HS,2012,201203,March 2012,0,0,1,Imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,937681192,,,0
HS,2012,201203,March 2012,0,0,2,Exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,715265173,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21106413,,,0
HS,2012,201203,March 2012,0,0,4,Re-imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3407201,,,0
HS,2012,201204,April 2012,0,0,1,Imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1019303516,,,0
HS,2012,201204,April 2012,0,0,2,Exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,589742761,,,0
HS,2012,201204,April 2012,0,0,3,Re-exports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16518720,,,0
HS,2012,201204,April 2012,0,0,4,Re-imports,887,Yemen,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1887948,,,0
