Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,390954621,,,0
HS,2010,201001,January 2010,0,0,2,Exports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,450616579,,,0
HS,2010,201002,February 2010,0,0,1,Imports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,400463525,,,0
HS,2010,201002,February 2010,0,0,2,Exports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,437207799,,,0
HS,2010,201003,March 2010,0,0,1,Imports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,451822937,,,0
HS,2010,201003,March 2010,0,0,2,Exports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,565492708,,,0
HS,2010,201004,April 2010,0,0,1,Imports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,442524812,,,0
HS,2010,201004,April 2010,0,0,2,Exports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,614950029,,,0
HS,2010,201005,May 2010,0,0,1,Imports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,437218703,,,0
HS,2010,201005,May 2010,0,0,2,Exports,894,Zambia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,549462109,,,0
